title,is_favorite,date_added,confidence,notes
10 Cloverfield Lane,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
10 Things I Hate About You,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
101 Dalmatians,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
11:14,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
12 Angry Men,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
12 Monkeys,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
12 Years a Slave,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
12 Rounds,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
127 Hours,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The 13th Warrior,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
13 Going On 30,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
1408,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
2 Fast 2 Furious,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
2001: A Space Odyssey,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
2010,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
2012,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
21,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
21 Jump Street,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
27 Dresses,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
28 Days Later,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
28 Weeks Later,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
28 Years Later,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
3:10 To Yuma,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
300,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The 40-Year-Old Virgin,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
42,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
50 First Dates,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
500 Days of Summer,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
6 Days to Air,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
8 Mile,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
9,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
A.I. Artificial Intelligence,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Accountant,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Ace Ventura: Pet Detective,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Ace Ventura: When Nature Calls,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Across The Universe,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Act of Killing,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Ad Astra,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Adventures of Tin-Tin,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Adventureland,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Air Force One,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Airheads,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Airplane!,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Akira,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Aladdin,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
